creative_id,campaign_id,image_url,platform,format,status,approved_by,approved_at,tags,notes
1,1,https://www.adapterdigital.com/works/ecommerce-platform-hero.jpg,facebook,static,approved,201,2024-01-01 08:00:00,"{ecommerce,gen_z,mobile_first}",Main hero image showing mobile shopping experience
2,1,https://www.adapterdigital.com/works/ecommerce-platform-carousel.jpg,facebook,carousel,approved,201,2024-01-01 08:15:00,"{ecommerce,gen_z,features}",Carousel showcasing platform features
3,1,https://www.adapterdigital.com/works/ecommerce-platform-video.jpg,youtube,video_thumbnail,approved,201,2024-01-01 08:30:00,"{ecommerce,millennials,how_to}",Video thumbnail for platform demo
4,2,https://www.adapterdigital.com/works/performance-suite-banner.jpg,facebook,static,approved,202,2024-06-01 09:00:00,"{marTech,performance,professional}",Performance suite promotional banner
5,2,https://www.adapterdigital.com/works/performance-suite-linkedin.jpg,linkedin,static,approved,202,2024-06-01 09:15:00,"{marTech,B2B,enterprise}",LinkedIn-optimized creative for B2B audience
6,3,https://www.adapterdigital.com/works/cdp-solution-hero.jpg,facebook,static,approved,203,2024-03-01 10:00:00,"{cdp,enterprise,data}",CDP solution hero image for enterprise
7,3,https://www.adapterdigital.com/works/cdp-case-study.jpg,youtube,video_thumbnail,approved,203,2024-03-01 10:30:00,"{cdp,enterprise,case_study}",Case study video thumbnail
8,4,https://www.adapterdigital.com/works/genz-test-dark.jpg,facebook,static,rejected,201,2024-05-05 14:00:00,"{gen_z,dark_colors}",Rejected - too dark, doesn't match brand guidelines
9,4,https://www.adapterdigital.com/works/genz-test-bright.jpg,tiktok,static,draft,NULL,NULL,"{gen_z,bright_colors,test}",Pending approval - new bright creative concept for TikTok
10,5,https://www.adapterdigital.com/works/saas-promo-linkedin.jpg,linkedin,static,approved,202,2024-07-01 08:00:00,"{saas,millennials,professional}",SaaS promotion creative for LinkedIn
11,5,https://www.adapterdigital.com/works/saas-testimonial.jpg,facebook,static,approved,202,2024-07-01 08:30:00,"{saas,millennials,testimonial}",Customer testimonial creative
12,6,https://www.adapterdigital.com/works/valentine-hero.jpg,facebook,static,approved,201,2024-02-01 09:00:00,"{valentine,gen_z,romantic}",Valentine's Day hero image
13,6,https://www.adapterdigital.com/works/valentine-tiktok.jpg,tiktok,static,approved,201,2024-02-01 09:15:00,"{valentine,gen_z,viral}",TikTok-optimized Valentine creative
14,7,https://www.adapterdigital.com/works/enterprise-tools-hero.jpg,facebook,static,approved,203,2024-04-01 10:00:00,"{enterprise,marTech,professional}",Enterprise marketing tools hero image
15,7,https://www.adapterdigital.com/works/enterprise-webinar.jpg,youtube,video_thumbnail,approved,203,2024-04-01 10:30:00,"{enterprise,marTech,webinar}",Webinar video thumbnail
16,8,https://www.adapterdigital.com/works/back-to-school-hero.jpg,facebook,static,approved,201,2024-08-01 08:00:00,"{back_to_school,gen_z,energetic}",Back to school campaign hero
17,8,https://www.adapterdigital.com/works/back-to-school-tiktok.jpg,tiktok,static,approved,201,2024-08-01 08:15:00,"{back_to_school,gen_z,trendy}",TikTok back to school creative
18,9,https://www.adapterdigital.com/works/fall-fashion-hero.jpg,facebook,static,approved,202,2024-09-01 09:00:00,"{fashion,millennials,premium}",Fall fashion collection hero
19,9,https://www.adapterdigital.com/works/fall-fashion-instagram.jpg,instagram,static,approved,202,2024-09-01 09:30:00,"{fashion,millennials,lifestyle}",Instagram-optimized fashion creative
20,10,https://www.adapterdigital.com/works/halloween-hero.jpg,facebook,static,approved,201,2024-10-01 08:00:00,"{halloween,gen_z,playful}",Halloween campaign hero image
21,10,https://www.adapterdigital.com/works/halloween-tiktok.jpg,tiktok,static,approved,201,2024-10-01 08:15:00,"{halloween,gen_z,viral}",TikTok Halloween viral creative
